graph, nodes, labels, buildTime, query, queryTime, memUsage, algoId, estimation, expected
Biblio,837,6,35,1/0/4/2/5,11,3430,SubgraphEdgeBased,9,61
Biblio,837,6,35,1/0/4/2/8,6,3430,SubgraphEdgeBased,52,461
Biblio,837,6,35,1/0/4/3,4,3430,SubgraphEdgeBased,3,37
Biblio,837,6,35,1/0/2/5,5,3430,SubgraphEdgeBased,7,51
Biblio,837,6,35,0/4/2/5,13,3430,SubgraphEdgeBased,41,121
Biblio,837,6,35,1/0/10/2/5,13,3430,SubgraphEdgeBased,1,38
Biblio,837,6,35,7/0/4/2/8,4,3430,SubgraphEdgeBased,101,561
Biblio,837,6,35,7/0/10/3,4,3430,SubgraphEdgeBased,16,32
Biblio,837,6,35,0/10/2/5,4,3430,SubgraphEdgeBased,26,87
Biblio,837,6,35,1/0/2/5,4,3430,SubgraphEdgeBased,7,51
Biblio,837,6,35,7/1/0,2,3430,SubgraphEdgeBased,104,220
Biblio,837,6,35,0/4/10,4,3430,SubgraphEdgeBased,537,1456
Biblio,837,6,35,0/2/5,4,3430,SubgraphEdgeBased,55,151
Biblio,837,6,35,0/2/5,4,3430,SubgraphEdgeBased,55,151
Biblio,837,6,35,0/10/2,5,3430,SubgraphEdgeBased,140,260
Biblio,837,6,35,0/4/2,5,3430,SubgraphEdgeBased,97,284
Biblio,837,6,35,7/0/3,4,3430,SubgraphEdgeBased,34,70
Biblio,837,6,35,9/4/6,3,3430,SubgraphEdgeBased,36,64
Biblio,837,6,35,9/10/6,3,3430,SubgraphEdgeBased,20,85
Biblio,837,6,35,1/1/4,3,3430,SubgraphEdgeBased,0,0
Biblio,837,6,35,1/0,3,3430,SubgraphEdgeBased,97,216
Biblio,837,6,35,0/10,8,3430,SubgraphEdgeBased,148,275
Biblio,837,6,35,0/2,2,3430,SubgraphEdgeBased,206,428
Biblio,837,6,35,8/3,3,3430,SubgraphEdgeBased,64,93
Biblio,837,6,35,2/5,4,3430,SubgraphEdgeBased,67,155
Biblio,837,6,35,3/2,4,3430,SubgraphEdgeBased,0,0
Biblio,837,6,35,9/6,6,3430,SubgraphEdgeBased,62,118
