Method, Dataset, RelativeDistance
Subgraph, Biblio, 83.606557
Subgraph, Biblio, 88.503254
Subgraph, Biblio, 89.189189
Subgraph, Biblio, 82.352941
Subgraph, Biblio, 64.462810
Subgraph, Biblio, 94.736842
Subgraph, Biblio, 81.105169
Subgraph, Biblio, 34.375000
Subgraph, Biblio, 66.666667
Subgraph, Biblio, 82.352941
Subgraph, Biblio, 51.818182
Subgraph, Biblio, 62.980769
Subgraph, Biblio, 61.589404
Subgraph, Biblio, 61.589404
Subgraph, Biblio, 45.769231
Subgraph, Biblio, 65.140845
Subgraph, Biblio, 42.857143
Subgraph, Biblio, 42.187500
Subgraph, Biblio, 74.117647
Subgraph, Biblio, 0.000000
Subgraph, Biblio, 54.629630
Subgraph, Biblio, 45.454545
Subgraph, Biblio, 51.635514
Subgraph, Biblio, 30.107527
Subgraph, Biblio, 56.129032
Subgraph, Biblio, 0.000000
Subgraph, Biblio, 44.915254
Subgraph, Music, 55.523810
Subgraph, Music, 4.285714
Subgraph, Music, 0.000000
Subgraph, Music, 33.285714
Subgraph, Music, 0.000000
Subgraph, Music, 66.503838
Subgraph, Music, 49.755757
Subgraph, Music, 33.285714
Subgraph, Music, 3.285714
Subgraph, Music, 53.619910
Subgraph, Music, 62.971062
Subgraph, Music, 71.499622
Subgraph, Music, 55.523810
Subgraph, Music, 49.755757
Subgraph, Music, 55.523810
Subgraph, Music, 48.022152
Subgraph, Music, 3.805175
Subgraph, Music, 55.492491
Subgraph, Music, 0.000000
Subgraph, Music, 56.578528
Subgraph, Music, 54.276248
Subgraph, Music, 0.000000
Subgraph, Music, 33.400000
Subgraph, Music, 34.190476
Subgraph, Music, 33.333333
Subgraph, Music, 33.285714
Subgraph, Cineast, 44.635755
Subgraph, Cineast, 70.172477
Subgraph, Cineast, 0.000000
Subgraph, Cineast, 80.597015
Subgraph, Cineast, 46.084851
Subgraph, Cineast, 67.001561
Subgraph, Cineast, 77.745995
Subgraph, Cineast, 85.474860
Subgraph, Cineast, 74.813982
Subgraph, Cineast, 73.076923
Subgraph, Cineast, 100.000000
Subgraph, Cineast, 77.777778
Subgraph, Cineast, 68.041237
Subgraph, Cineast, 60.893299
Subgraph, Cineast, 52.323761
