graph, nodes, labels, filesize, buildTime, query, queryTime, memUsage, algoId, estimation, expected
Biblio,837,6,16264,126,1/0/4/2/5,2,2501,SubgraphHighK_2,5,61
Biblio,837,6,16264,126,1/0/4/2/8,2,2501,SubgraphHighK_2,51,461
Biblio,837,6,16264,126,1/0/4/3,2,2501,SubgraphHighK_2,4,37
Biblio,837,6,16264,126,1/0/2/5,1,2501,SubgraphHighK_2,9,51
Biblio,837,6,16264,126,0/4/2/5,1,2501,SubgraphHighK_2,16,121
Biblio,837,6,16264,126,1/0/10/2/5,2,2501,SubgraphHighK_2,0,38
Biblio,837,6,16264,126,7/0/4/2/8,2,2501,SubgraphHighK_2,131,561
Biblio,837,6,16264,126,7/0/10/3,2,2501,SubgraphHighK_2,16,32
Biblio,837,6,16264,126,0/10/2/5,2,2501,SubgraphHighK_2,26,87
Biblio,837,6,16264,126,1/0/2/5,1,2501,SubgraphHighK_2,9,51
Biblio,837,6,16264,126,7/1/0,6,2501,SubgraphHighK_2,100,220
Biblio,837,6,16264,126,0/4/10,1,2501,SubgraphHighK_2,486,1456
Biblio,837,6,16264,126,0/2/5,2,2501,SubgraphHighK_2,82,151
Biblio,837,6,16264,126,0/2/5,2,2501,SubgraphHighK_2,82,151
Biblio,837,6,16264,126,0/10/2,2,2501,SubgraphHighK_2,201,260
Biblio,837,6,16264,126,0/4/2,2,2501,SubgraphHighK_2,97,284
Biblio,837,6,16264,126,7/0/3,2,2501,SubgraphHighK_2,36,70
Biblio,837,6,16264,126,9/4/6,2,2501,SubgraphHighK_2,55,64
Biblio,837,6,16264,126,9/10/6,2,2501,SubgraphHighK_2,24,85
Biblio,837,6,16264,126,1/1/4,2,2501,SubgraphHighK_2,0,0
Biblio,837,6,16264,126,1/0,2,2501,SubgraphHighK_2,79,216
Biblio,837,6,16264,126,0/10,1,2501,SubgraphHighK_2,193,275
Biblio,837,6,16264,126,0/2,2,2501,SubgraphHighK_2,286,428
Biblio,837,6,16264,126,8/3,2,2501,SubgraphHighK_2,147,93
Biblio,837,6,16264,126,2/5,2,2501,SubgraphHighK_2,122,155
Biblio,837,6,16264,126,3/2,1,2501,SubgraphHighK_2,0,0
Biblio,837,6,16264,126,9/6,3,2501,SubgraphHighK_2,93,118
Biblio,837,6,16264,226,1/0/4/2/5,2,3374,SubgraphHighK_23,22,61
Biblio,837,6,16264,226,1/0/4/2/8,2,3374,SubgraphHighK_23,119,461
Biblio,837,6,16264,226,1/0/4/3,2,3374,SubgraphHighK_23,6,37
Biblio,837,6,16264,226,1/0/2/5,2,3374,SubgraphHighK_23,15,51
Biblio,837,6,16264,226,0/4/2/5,2,3374,SubgraphHighK_23,72,121
Biblio,837,6,16264,226,1/0/10/2/5,2,3374,SubgraphHighK_23,4,38
Biblio,837,6,16264,226,7/0/4/2/8,2,3374,SubgraphHighK_23,238,561
Biblio,837,6,16264,226,7/0/10/3,4,3374,SubgraphHighK_23,35,32
Biblio,837,6,16264,226,0/10/2/5,2,3374,SubgraphHighK_23,49,87
Biblio,837,6,16264,226,1/0/2/5,3,3374,SubgraphHighK_23,15,51
Biblio,837,6,16264,226,7/1/0,2,3374,SubgraphHighK_23,160,220
Biblio,837,6,16264,226,0/4/10,2,3374,SubgraphHighK_23,816,1456
Biblio,837,6,16264,226,0/2/5,3,3374,SubgraphHighK_23,87,151
Biblio,837,6,16264,226,0/2/5,3,3374,SubgraphHighK_23,87,151
Biblio,837,6,16264,226,0/10/2,3,3374,SubgraphHighK_23,213,260
Biblio,837,6,16264,226,0/4/2,4,3374,SubgraphHighK_23,149,284
Biblio,837,6,16264,226,7/0/3,3,3374,SubgraphHighK_23,60,70
Biblio,837,6,16264,226,9/4/6,2,3374,SubgraphHighK_23,56,64
Biblio,837,6,16264,226,9/10/6,5,3374,SubgraphHighK_23,33,85
Biblio,837,6,16264,226,1/1/4,3,3374,SubgraphHighK_23,0,0
Biblio,837,6,16264,226,1/0,4,3374,SubgraphHighK_23,196,216
Biblio,837,6,16264,226,0/10,4,3374,SubgraphHighK_23,300,275
Biblio,837,6,16264,226,0/2,3,3374,SubgraphHighK_23,414,428
Biblio,837,6,16264,226,8/3,3,3374,SubgraphHighK_23,130,93
Biblio,837,6,16264,226,2/5,3,3374,SubgraphHighK_23,136,155
Biblio,837,6,16264,226,3/2,4,3374,SubgraphHighK_23,0,0
Biblio,837,6,16264,226,9/6,4,3374,SubgraphHighK_23,130,118
Biblio,837,6,16264,256,1/0/4/2/5,2,1804,SubgraphHighK_3,0,61
Biblio,837,6,16264,256,1/0/4/2/8,4,1804,SubgraphHighK_3,44,461
Biblio,837,6,16264,256,1/0/4/3,4,1804,SubgraphHighK_3,0,37
Biblio,837,6,16264,256,1/0/2/5,4,1804,SubgraphHighK_3,0,51
Biblio,837,6,16264,256,0/4/2/5,2,1804,SubgraphHighK_3,23,121
Biblio,837,6,16264,256,1/0/10/2/5,1,1804,SubgraphHighK_3,0,38
Biblio,837,6,16264,256,7/0/4/2/8,2,1804,SubgraphHighK_3,133,561
Biblio,837,6,16264,256,7/0/10/3,3,1804,SubgraphHighK_3,70,32
Biblio,837,6,16264,256,0/10/2/5,2,1804,SubgraphHighK_3,0,87
Biblio,837,6,16264,256,1/0/2/5,3,1804,SubgraphHighK_3,0,51
Biblio,837,6,16264,256,7/1/0,2,1804,SubgraphHighK_3,1593,220
Biblio,837,6,16264,256,0/4/10,2,1804,SubgraphHighK_3,2894,1456
Biblio,837,6,16264,256,0/2/5,2,1804,SubgraphHighK_3,185,151
Biblio,837,6,16264,256,0/2/5,2,1804,SubgraphHighK_3,185,151
Biblio,837,6,16264,256,0/10/2,1,1804,SubgraphHighK_3,902,260
Biblio,837,6,16264,256,0/4/2,0,1804,SubgraphHighK_3,212,284
Biblio,837,6,16264,256,7/0/3,1,1804,SubgraphHighK_3,451,70
Biblio,837,6,16264,256,9/4/6,1,1804,SubgraphHighK_3,212,64
Biblio,837,6,16264,256,9/10/6,0,1804,SubgraphHighK_3,26,85
Biblio,837,6,16264,256,1/1/4,1,1804,SubgraphHighK_3,0,0
Biblio,837,6,16264,256,1/0,0,1804,SubgraphHighK_3,141,216
Biblio,837,6,16264,256,0/10,0,1804,SubgraphHighK_3,133,275
Biblio,837,6,16264,256,0/2,0,1804,SubgraphHighK_3,220,428
