edges,sTime,dataset
187,40,biblio
17100,1166,music
13331,1411,cineast
374,22,biblio
34200,7386,music
26662,2058,cineast
561,451,biblio
51300,39073,music
39993,2837,cineast
748,75,biblio
68400,47055,music
53324,265455,cineast
935,43,biblio
85500,43651,music
66655,149541,cineast
1122,26,biblio
102600,22232,music
79986,90397,cineast
1309,224,biblio
119700,36351,music
93317,363360,cineast
1496,48,biblio
136800,45483,music
106648,17746,cineast
187,12,biblio
17100,803,music
13331,1144,cineast
374,14,biblio
34200,7020,music
26662,2235,cineast
561,145,biblio
51300,35302,music
39993,2990,cineast
748,154,biblio
68400,35985,music
53324,444057,cineast
935,293,biblio
85500,42666,music
66655,411163,cineast
1122,292,biblio
102600,48270,music
79986,174905,cineast
1309,62,biblio
119700,59938,music
93317,400254,cineast
1496,58,biblio
136800,132570,music
106648,11772,cineast
187,19,biblio
17100,889,music
13331,1188,cineast
374,52,biblio
34200,6823,music
26662,2127,cineast
561,249,biblio
51300,66344,music
39993,2893,cineast
748,263,biblio
68400,40972,music
53324,15632,cineast
935,41,biblio
85500,33767,music
66655,299587,cineast
1122,34,biblio
102600,45635,music
79986,443241,cineast
1309,66,biblio
119700,43458,music
1496,128,biblio
136800,50163,music
106648,173034,cineast
187,33,biblio
17100,710,music
13331,1127,cineast
374,34,biblio
34200,6575,music
26662,2472,cineast
561,210,biblio
51300,41970,music
39993,3005,cineast
748,30,biblio
68400,49218,music
53324,102662,cineast
935,206,biblio
85500,34727,music
66655,43182,cineast
1122,82,biblio
102600,48316,music
79986,155484,cineast
1309,520,biblio
119700,54276,music
93317,578614,cineast
1496,108,biblio
136800,50278,music
106648,197113,cineast
187,51,biblio
17100,4031,music
13331,1154,cineast
374,14,biblio
34200,8874,music
26662,2211,cineast
561,147,biblio
51300,40920,music
39993,2848,cineast
748,22,biblio
68400,41534,music
53324,9286,cineast
935,108,biblio
85500,58203,music
66655,633753,cineast
1122,1520,biblio
102600,56064,music
79986,86798,cineast
1309,50,biblio
119700,48195,music
93317,200612,cineast
1496,45,biblio
136800,46388,music
106648,14242,cineast
187,16,biblio
17100,706,music
13331,1087,cineast
374,16,biblio
34200,7254,music
26662,2151,cineast
561,196,biblio
51300,36391,music
39993,2931,cineast
748,153,biblio
68400,33014,music
53324,93409,cineast
935,39,biblio
85500,35965,music
66655,100348,cineast
1122,71,biblio
102600,40146,music
79986,98300,cineast
1309,53,biblio
119700,41314,music
93317,612256,cineast
1496,1178,biblio
136800,42100,music
106648,32596,cineast
187,19,biblio
17100,683,music
13331,1095,cineast
374,14,biblio
34200,6983,music
26662,2164,cineast
561,35,biblio
51300,45356,music
39993,3452,cineast
748,114,biblio
68400,38360,music
53324,131067,cineast
935,74,biblio
85500,45680,music
66655,227306,cineast
1122,47,biblio
102600,34408,music
79986,120367,cineast
1309,207,biblio
119700,44579,music
93317,67513,cineast
1496,33,biblio
136800,27763,music
106648,427258,cineast
187,55,biblio
17100,774,music
13331,1154,cineast
374,16,biblio
34200,7027,music
26662,2123,cineast
561,30,biblio
51300,49351,music
39993,2923,cineast
748,21,biblio
68400,37000,music
53324,45849,cineast
935,247,biblio
85500,29059,music
66655,12303,cineast
1122,280,biblio
102600,31635,music
79986,274004,cineast
1309,65,biblio
119700,46651,music
93317,307179,cineast
1496,64,biblio
136800,45847,music
106648,12329,cineast
187,17,biblio
17100,793,music
